,DATA,RECUPERADOS/DIA,INTERNADOS/DIA,cases_7,cases_14,observation_7,observation_14
170,2020-09-09,260.0,260.0,355,385,1,1
171,2020-09-10,288.0,288.0,228,275,1,1
172,2020-09-11,301.0,301.0,272,249,1,1
173,2020-09-12,183.0,183.0,137,154,1,1
174,2020-09-13,69.0,69.0,68,154,1,1
175,2020-09-14,204.0,204.0,284,154,1,1
176,2020-09-15,279.0,279.0,278,355,1,1
177,2020-09-16,355.0,355.0,385,271,1,1
178,2020-09-17,228.0,228.0,275,211,1,1
179,2020-09-18,272.0,272.0,249,215,1,1
180,2020-09-19,137.0,137.0,154,68,1,1
181,2020-09-20,68.0,68.0,154,64,1,0
182,2020-09-21,284.0,284.0,154,145,1,1
183,2020-09-22,278.0,278.0,355,291,1,1
184,2020-09-23,385.0,385.0,271,206,1,1
185,2020-09-24,275.0,275.0,211,284,1,1
186,2020-09-25,249.0,249.0,215,230,1,1
187,2020-09-26,154.0,154.0,68,83,1,1
188,2020-09-27,154.0,154.0,64,-126,0,0
189,2020-09-28,154.0,154.0,145,243,1,1
190,2020-09-29,355.0,355.0,291,259,1,1
191,2020-09-30,271.0,271.0,206,607,1,2
192,2020-10-01,211.0,211.0,284,246,1,1
193,2020-10-02,215.0,215.0,230,184,1,1
194,2020-10-03,68.0,68.0,83,130,1,1
195,2020-10-04,64.0,64.0,-126,58,0,0
196,2020-10-05,145.0,145.0,243,219,1,1
197,2020-10-06,291.0,291.0,259,211,1,1
198,2020-10-07,206.0,206.0,607,279,2,1
199,2020-10-08,284.0,284.0,246,923,1,2
200,2020-10-09,230.0,230.0,184,300,1,1
201,2020-10-10,83.0,83.0,130,88,1,1
202,2020-10-11,-126.0,-126.0,58,48,0,0
203,2020-10-12,243.0,243.0,219,173,1,1
204,2020-10-13,259.0,259.0,211,213,1,1
205,2020-10-14,607.0,607.0,279,-607,1,0
206,2020-10-15,246.0,246.0,923,293,2,1
207,2020-10-16,184.0,184.0,300,138,1,1
208,2020-10-17,130.0,130.0,88,72,1,1
209,2020-10-18,58.0,58.0,48,77,0,1
210,2020-10-19,219.0,219.0,173,36,1,0
211,2020-10-20,211.0,211.0,213,131,1,1
212,2020-10-21,279.0,279.0,-607,157,0,1
213,2020-10-22,923.0,923.0,293,191,1,1
214,2020-10-23,300.0,300.0,138,340,1,1
215,2020-10-24,88.0,88.0,72,-118,1,0
216,2020-10-25,48.0,48.0,77,97,1,1
217,2020-10-26,173.0,173.0,36,193,0,1
218,2020-10-27,213.0,213.0,131,103,1,1
219,2020-10-28,-607.0,-607.0,157,106,1,1
220,2020-10-29,293.0,293.0,191,266,1,1
221,2020-10-30,138.0,138.0,340,265,1,1
222,2020-10-31,72.0,72.0,-118,67,0,0
223,2020-11-01,77.0,77.0,97,23,1,0
224,2020-11-02,36.0,36.0,193,170,1,1
225,2020-11-03,131.0,131.0,103,220,1,1
226,2020-11-04,157.0,157.0,106,190,1,1
227,2020-11-05,191.0,191.0,266,221,1,1
228,2020-11-06,340.0,340.0,265,475,1,2
229,2020-11-07,-118.0,-118.0,67,70,0,1
230,2020-11-08,97.0,97.0,23,27,0,0
231,2020-11-09,193.0,193.0,170,6,1,0
232,2020-11-10,103.0,103.0,220,264,1,1
233,2020-11-11,106.0,106.0,190,218,1,1
234,2020-11-12,266.0,266.0,221,260,1,1
235,2020-11-13,265.0,265.0,475,179,2,1
236,2020-11-14,67.0,67.0,70,13,1,0
237,2020-11-15,23.0,23.0,27,99,0,1
238,2020-11-16,170.0,170.0,6,361,0,1
239,2020-11-17,220.0,220.0,264,269,1,1
240,2020-11-18,190.0,190.0,218,360,1,1
241,2020-11-19,221.0,221.0,260,-43,1,0
242,2020-11-20,475.0,475.0,179,350,1,1
243,2020-11-21,70.0,70.0,13,110,0,1
244,2020-11-22,27.0,27.0,99,9,1,0
245,2020-11-23,6.0,6.0,361,257,1,1
246,2020-11-24,264.0,264.0,269,226,1,1
247,2020-11-25,218.0,218.0,360,353,1,1
248,2020-11-26,260.0,260.0,-43,392,0,1
249,2020-11-27,179.0,179.0,350,251,1,1
250,2020-11-28,13.0,13.0,110,169,1,1
251,2020-11-29,99.0,99.0,9,14,0,0
252,2020-11-30,361.0,361.0,257,286,1,1
253,2020-12-01,269.0,269.0,226,266,1,1
254,2020-12-02,360.0,360.0,353,1001,1,2
255,2020-12-03,-43.0,-43.0,392,344,1,1
256,2020-12-04,350.0,350.0,251,-162,1,0
257,2020-12-05,110.0,110.0,169,144,1,1
258,2020-12-06,9.0,9.0,14,49,0,0
259,2020-12-07,257.0,257.0,286,304,1,1
260,2020-12-08,226.0,226.0,266,186,1,1
261,2020-12-09,353.0,353.0,1001,595,2,2
262,2020-12-10,392.0,392.0,344,139,1,1
263,2020-12-11,251.0,251.0,-162,69,0,1
264,2020-12-12,169.0,169.0,144,52,1,0
265,2020-12-13,14.0,14.0,49,75,0,1
266,2020-12-14,286.0,286.0,304,452,1,1
267,2020-12-15,266.0,266.0,186,552,1,2
268,2020-12-16,1001.0,1001.0,595,207,2,1
269,2020-12-17,344.0,344.0,139,193,1,1
270,2020-12-18,-162.0,-162.0,69,91,1,1
271,2020-12-19,144.0,144.0,52,53,0,0
272,2020-12-20,49.0,49.0,75,73,1,1
273,2020-12-21,304.0,304.0,452,296,1,1
274,2020-12-22,186.0,186.0,552,481,2,2
275,2020-12-23,595.0,595.0,207,430,1,1
276,2020-12-24,139.0,139.0,193,384,1,1
277,2020-12-25,69.0,69.0,91,722,1,2
278,2020-12-26,52.0,52.0,53,184,0,1
279,2020-12-27,75.0,75.0,73,101,1,1
280,2020-12-28,452.0,452.0,296,429,1,1
281,2020-12-29,552.0,552.0,481,520,2,2
282,2020-12-30,207.0,207.0,430,509,1,2
283,2020-12-31,193.0,193.0,384,467,1,1
284,2021-01-01,91.0,91.0,722,445,2,1
285,2021-01-02,53.0,53.0,184,494,1,2
286,2021-01-03,73.0,73.0,101,71,1,1
287,2021-01-04,296.0,296.0,429,446,1,1
288,2021-01-05,481.0,481.0,520,539,2,2
289,2021-01-06,430.0,430.0,509,446,2,1
